매장명,주소
영도초등학교,부산 영도구 꿈나무길 41
대교초등학교,부산 영도구 봉래나루로246번길 19
봉학초등학교,부산 영도구 태종로 242
상리초등학교,부산 영도구 상리로 38
남항초등학교,부산 영도구 남항새싹길 55
중리초등학교,부산 영도구 와치로 286
대평초등학교,부산 영도구 절영로 82
신선초등학교,부산 영도구 산정길 17
봉삼초등학교,부산 영도구 함지로79번길 39
절영초등학교,부산 영도구 함지로 37
태종대초등학교,부산 영도구 태종로802번길 38
지진옥외대피장소 청동초등학교,부산 영도구 태종로422번길 45
지진옥외대피장소 절영초등학교,부산 영도구 함지로 37
지진옥외대피장소 중리초등학교,부산 영도구 와치로 286
지진옥외대피장소 태종대초등학교,부산 영도구 태종로802번길 38
지진옥외대피장소 동삼초등학교,부산 영도구 태종로 610
지진옥외대피장소 대교초등학교,부산 영도구 봉래나루로246번길 19
지진옥외대피장소 봉학초등학교,부산 영도구 태종로 242
지진옥외대피장소 신선초등학교,부산 영도구 산정길 17
지진옥외대피장소 봉삼초등학교,부산 영도구 함지로79번길 39
지진옥외대피장소 상리초등학교,부산 영도구 상리로 38
지진옥외대피장소 대평초등학교,부산 영도구 절영로 82
지진옥외대피장소 영도초등학교,부산 영도구 꿈나무길 41
지진실내구호소 동삼초등학교,부산 영도구 태종로 610
지진실내구호소 영도초등학교,부산 영도구 꿈나무길 41
지진옥외대피장소 청학초등학교,부산 영도구 청학로 49
장산초등학교,부산 해운대구 선수촌로 68
동백초등학교,부산 해운대구 좌동순환로357번길 6
재송초등학교,부산 해운대구 재반로64번길 33
반산초등학교,부산 해운대구 재반로 171
해송초등학교,부산 해운대구 좌동순환로402번길 32
해운대초등학교,부산 해운대구 중동2로24번길 30
송수초등학교,부산 해운대구 해운대로76번길 35
해원초등학교,부산 해운대구 마린시티2로 10
상당초등학교,부산 해운대구 세실로 173
해강초등학교,부산 해운대구 해운대해변로 73
부산송정초등학교,부산 해운대구 해운대로 1164-9
센텀초등학교,부산 해운대구 센텀중앙로 166
해동초등학교,부산 해운대구 우동1로 104
반송초등학교,부산 해운대구 아랫반송로30번길 37-16
양운초등학교,부산 해운대구 대천로67번길 36
반석초등학교,부산 해운대구 선수촌로207번길 14
반여초등학교,부산 해운대구 재반로 301
강동초등학교,부산 해운대구 해운대로349번길 10
운봉초등학교,부산 해운대구 신반송로 11-20
신곡초등학교,부산 해운대구 좌동순환로 290
인지초등학교,부산 해운대구 반여로 128
해림초등학교,부산 해운대구 해운대로469번길 42
좌동초등학교,부산 해운대구 세실로 127
부흥초등학교,부산 해운대구 좌동순환로 216
신도초등학교,부산 해운대구 좌동순환로 34
무정초등학교,부산 해운대구 반여로 68-11
좌산초등학교,부산 해운대구 좌동순환로311번길 7
신재초등학교,부산 해운대구 해운대로81번길 55
삼어초등학교,부산 해운대구 삼어로91번길 73
반안초등학교,부산 해운대구 명장로67번길 40-42
운송초등학교,부산 해운대구 반송로 839
송운초등학교,부산 해운대구 신반송로 20
지진옥외대피장소 무정초등학교,부산 해운대구 반여로 68-11
지진실내구호소 해운대초등학교,부산 해운대구 중동2로24번길 30
지진옥외대피장소 해강초등학교,부산 해운대구 해운대해변로 73
지진옥외대피장소 해동초등학교,부산 해운대구 우동1로 104
지진옥외대피장소 삼어초등학교,부산 해운대구 삼어로91번길 73
지진실내구호소 강동초등학교,부산 해운대구 해운대로349번길 10
지진옥외대피장소 해운대초등학교,부산 해운대구 중동2로24번길 30
지진옥외대피장소 해송초등학교,부산 해운대구 좌동순환로402번길 32
지진옥외대피장소 송정초등학교,부산 해운대구 해운대로 1164-9
지진실내구호소 송정초등학교,부산 해운대구 해운대로 1164-9
지진옥외대피장소 송수초등학교,부산 해운대구 해운대로76번길 35
지진옥외대피장소 동백초등학교,부산 해운대구 좌동순환로357번길 6
지진실내구호소 해동초등학교,부산 해운대구 우동1로 104
지진옥외대피장소 재송초등학교,부산 해운대구 재반로64번길 33
지진실내구호소 운봉초등학교,부산 해운대구 신반송로 11-20
지진실내구호소 위봉초등학교,부산 해운대구 재반로 301
지진옥외대피장소 센텀초등학교,부산 해운대구 센텀중앙로 166
지진옥외대피장소 반안초등학교,부산 해운대구 명장로67번길 40-42
지진실내구호소 반안초등학교,부산 해운대구 명장로67번길 40-42
지진실내구호소 해림초등학교,부산 해운대구 해운대로469번길 42
지진실내구호소 동백초등학교,부산 해운대구 좌동순환로357번길 6
지진실내구호소 신재초등학교,부산 해운대구 해운대로81번길 55
지진실내구호소 좌산초등학교,부산 해운대구 좌동순환로311번길 7
지진실내구호소 송수초등학교,부산 해운대구 해운대로76번길 35
지진실내구호소 센텀초등학교,부산 해운대구 센텀중앙로 166
지진옥외대피장소 반산초등학교,부산 해운대구 재반로 171
