매장명,주소
부산대학교 행정대학원,부산 금정구 부산대학로63번길 2 사회관 2층 211호
부산대학교 화학과,부산 금정구 부산대학로63번길 2 화학관 118호
부산대학교 환경교육센터,부산 금정구 부산대학로63번길 2 공동연구소동 511호
부산대학교 환경에너지연구소,부산 금정구 부산대학로63번길 2 삼성산학협동관 508호
부산대학교교차로,부산 금정구 장전동
부산대학교발전기금,부산 금정구 부산대학로63번길 2 효원문화회관 7층
부산대학교병원 A동(본원),부산 서구 구덕로185번길 24
부산대학교병원 융합의학기술원 해양의료연구센터,부산 서구 구덕로 187 부산대학교병원 융합의학연구동 2층
부산대학교병원 융합의학연구동,부산 서구 구덕로 187
부산대학교병원 장기이식센터,부산 서구 구덕로 179 A동 1층
부산대학교병원 출입구,부산 서구 아미동1가 10-3
부산대학교병원 출입구2,부산 서구 까치고개로 195
부산대학교병원작은도서관,부산 서구 구덕로 179 B동 1층
부산대학교총동문회장학회관,부산 동래구 충렬대로 118 7층
부산대학교출판문화원,부산 금정구 부산대학로63번길 2 학생회관 220호
부산대학병원 전기차충전소,부산 서구 구덕로 179 제3주차장 지하1층 A구역
부산보건대학교,부산 사하구 사리로55번길 16
부산보건대학교 덕문관,부산 사하구 사리로57번길 14-9
부산보건대학교 도서관,부산 사하구 사리로55번길 16 석파문화관 5층
부산보건대학교 보육교사교육원,부산 사하구 낙동대로 164 한라빌딩 5층
부산보건대학교 부설어린이집,부산 사하구 낙동대로164번길 42
부산보건대학교 사리암,부산 사하구 사리로55번길 15
부산보건대학교 산학협력단 지역사회서비스센터,부산 사하구 낙동대로 164
부산보건대학교 서점,부산 사하구 사리로55번길 16 1층
부산보건대학교 실버웰빙센터,부산 사하구 사리로55번길 16 2층
부산보건대학교 아카데미하우스,부산 사하구 동주대학로 10
부산보건대학교 자동차기계관,부산 사하구 괴정동 260-1006 1층
부산보건대학교 제2생활관,부산 사하구 동주대학로 20
부산보건대학교 제경관,부산 사하구 괴정동 260-1006
부산보건대학교 창업보육센터,부산 사하구 낙동대로 164 한라빌딩
부산보건대학교 평생교육원,부산 사하구 사리로55번길 16 학생회관 1층
부산보건대학교도서관,
부산시 고신대학교 전기차충전소,부산 영도구 와치로 194 주차장
부산시 연제구 부산교육대학교 전기차충전소,부산 연제구 교대로 24 제2체육관주차장 2대
부산애견대학카페,부산 기장군 장안읍 좌동길 2
부산외국어대학교 다문화창의인재사업단,부산 금정구 금샘로485번길 65 I203호
부산외국어대학교 외성생활관,부산 금정구 금샘로 534
부산외국어대학교 운동장,부산 금정구 금샘로485번길 166
부산외국어대학교 정문,부산 금정구 남산동 991-5
부산외국어대학교 파이데이아아카데미아 사업단,부산 금정구 금샘로485번길 65 i102-1
부산우유농협 부산대학역지점,부산 금정구 중앙대로 1617-12 부곡푸르지오 상가 103호
부산정보대학 평생교육원 화명동분원,부산 북구 금곡대로 287
부산지역대학연합기술지주,부산 해운대구 센텀중앙로 97 센텀스카이비즈 A동 2403호
붓다야나명상대학,부산 해운대구 마린시티3로 1 4층
블루포트 영산대학교점,부산 해운대구 반송순환로 142 2층
사상노인대학,부산 사상구 새벽로 172 4층
서강대학교SLP 금정,부산 금정구 중앙대로1719번길 13 삼백크라시앙 4층
서강대학교SLP 동래연제,부산 동래구 여고로 119 산빌딩 2층
서강대학교SLP 부산강서,부산 강서구 명지국제8로 19 레인보우타워 3층
서강대학교SLP 북부산,부산 북구 화명신도시로 129 골든프라자 6층
서강대학교SLP 해운대,부산 해운대구 세실로 87 영진파스타빌딩 3층
서경대학교 해운대영어학당,부산 해운대구 세실로 87
서울대학교병원 기장 중입자치료센터(2027년예정),부산 기장군 장안읍 기장대로 1464-24
서울사이버대학교 부산캠퍼스,부산 영도구 태종로 47 4층
세븐일레븐 부산대동대학교점,부산 금정구 부곡로142번길 49 문구프라자
소문노인대학,부산 서구 구덕로186번길 9
신대학약국,부산 서구 까치고개로197번길 3
신라대학교,부산 사상구 백양대로700번길 140
신라대학교 경비실,부산 사상구 괘법동 928-24
신라대학교 구내안경원,부산 사상구 백양대로700번길 140 사범관 3층
신라대학교 국제교육관복사실,부산 사상구 백양대로700번길 140 국제교육관 3층
신라대학교 기업경영학과,부산 사상구 백양대로700번길 140 상경관 315호
신라대학교 뷰티비즈니스학과,부산 사상구 백양대로700번길 140 미술관 404호
신라대학교 사범대학,부산 사상구 백양대로700번길 140 사범관 108호
신라대학교 산학협력단,부산 사상구 백양대로700번길 140 공학관 203호
신라대학교 우편취급국,부산 사상구 백양대로700번길 140 미술관 1층 116호
신라대학교 의생명과학대학,부산 사상구 백양대로700번길 140 의생명관 111-1호
신라대학교 입학관리처,부산 사상구 백양대로700번길 140 대학본부동 5층
신라대학교 전기차충전소,부산 사상구 백양대로700번길 140 체육관
신라대학교 출판부,부산 사상구 백양대로700번길 140 국제교육관 1층
신라대학교어린이집,부산 사상구 백양대로700번길 140 신라대학교 자연관 내
쏘카존 한국방송통신대학교 부산지역대학,부산 북구 학사로17번길 14
안락새마을금고충렬시민대학 문화복지센터,부산 동래구 충렬대로359번길 38 4층
안심사 녹야원불교대학,부산 북구 효열로203번길 16
어셉불교대학,부산 영도구 영선대로 109
여래사불교대학,부산 동구 고관로63번길 1
연세대학교연세우유 부산고객센터,부산 동구 홍곡로 14
영산대학교 도광헌,부산 해운대구 반송순환로 142 1층
영산대학교 미용예술대학원,부산 해운대구 반송순환로 142 L동
영산대학교 한국어교육센터,부산 해운대구 반송순환로 142 D동 1층
영산대학교 해양레저관광학과,부산 해운대구 반송순환로 142 영산대학교 해운대캠퍼스 A동
영산대학교 해운대캠퍼스 지식창업보육센터,부산 해운대구 반송순환로 142 M동 9층
영산대학교 해운대캠퍼스 출입구,부산 해운대구 반송동 248-24
와플대학 덕천캠퍼스,부산 북구 금곡대로8번길 87 덕천역 이즤 카운티 103동 1층 103호
와플대학 동아대캠퍼스,부산 사하구 낙동대로516번길 9
와플대학 부산남천캠퍼스,부산 수영구 수영로464번길 24
와플대학 부산대캠퍼스,부산 금정구 부산대학로 23 태영빌딩 1층
와플대학 부산장산역캠퍼스,부산 해운대구 해운대로 814
와플대학 부산정관캠퍼스,부산 기장군 정관읍 정관로 489
와플대학 부산화명캠퍼스,부산 북구 화명대로 27
와플대학 사직캠퍼스,부산 동래구 사직동 96-22
와플대학 사직캠퍼스,부산 동래구 사직로 8
와플대학 주례캠퍼스,부산 사상구 가야대로366번길 22
윗반송역 부산4호선,부산 해운대구 반송로 917
이아이이(EIE)고려대학교국제어학원영어,부산 해운대구 좌동순환로 175
인제대학교 인제대학교,부산 해운대구 해운대로 875
인제대학교 해운대백병원 비자검진센터,부산 해운대구 해운대로 875 지하1층
인제대학교 해운대백병원 사랑누리어린이집,부산 해운대구 세실로 19 대우1차아파트 112동 101호
인제대학교 해운대백병원 연구지원센터,부산 해운대구 좌동 1435
인제대학교 해운대백병원 장례식장,부산 해운대구 좌동 1435 지하1층
인제대학교 해운대백병원 출입구2,부산 해운대구 좌동 1491
인제대학교 해운대백병원 출입구3,부산 해운대구 좌동순환로 247
인제대학교부산백병원 보건관리센터,부산 사하구 신산로 169
인제대학교부산백병원부설김해,부산 강서구 체육공원로6번길 51
재한국북경대학대학원교우회,부산 강서구 대저로299번길 90
전국대학노동조합 동아대학교지부,부산 사하구 낙동대로550번길 37 교수회관 4층 405호
진여원,부산 북구 낙동북로 664
카페드림 영산대학교도서관점,부산 해운대구 반송순환로 142 영산대학교 해운대캠퍼스 L동 도서관1층
하나은행365 한국폴리텍대학 부산캠퍼스,부산 북구 만덕대로155번길 99
하나은행365 한국폴리텍대학동부산캠퍼스,부산 기장군 정관읍 산단4로 2-69
한국방송통신대학교 부산지역총동문회,부산 북구 학사로17번길 14 3층
한국불교 법사대학 부산교육원,부산 동구 초량북로5번길 14
한국종합예능복지실버대학,부산 연제구 거제천로230번길 19
한국폴리텍대학 동부산캠퍼스 기술1교육관,부산 기장군 정관읍 산단4로 2-80
한국폴리텍대학 동부산캠퍼스 대학본관,부산 기장군 정관읍 산단4로 2-76
한국폴리텍대학 부산캠퍼스 전기차충전소,부산 북구 만덕대로155번길 99 중앙건물 앞 화단
한국폴리텍대학 부산캠퍼스 제4공학관,부산 북구 덕천동 13
한국폴리텍대학동부산캠퍼스아파트,부산 수영구 광일로46번길 37
한국해앙대학교 소비자생활협동조합,부산 영도구 태종로 727
한국해양대학교 AMP22기,부산 해운대구 센텀북대로 60
한국해양대학교 C구역 전기차충전소,부산 영도구 태종로 727 주차장
한국해양대학교 KSA라운지,부산 영도구 태종로 727 1층
한국해양대학교 교직원관사,부산 영도구 절영로 429
한국해양대학교 국제통상학과,부산 영도구 태종로 727 국제대학관 411호
한국해양대학교 국제해양문제연구소,부산 영도구 태종로 727 평생교육관 3층
한국해양대학교 다운타운캠퍼스,부산 동구 중앙대로 263
한국해양대학교 링크3.0사업단,부산 영도구 동삼동 1168 한국해양대학교 산학허브관 3층 302호
한국해양대학교 보트제작교육연구센터,부산 사하구 다대로 740
한국해양대학교 산학협력단,부산 영도구 태종로 727 산학허브관 403호
한국해양대학교 서부산융합캠퍼스,부산 강서구 미음산단5로41번길 77
한국해양대학교 우편취급국,부산 영도구 태종로 727 어울림관 1층
한국해양대학교 일반대학원,부산 영도구 태종로 727 대학본부 4층
한국해양대학교 장비활용종합서비스,부산 영도구 태종로 727 공동실험관 2층
한국해양대학교 정문,부산 영도구 동삼동 749-9
한국해양대학교 주차장11,부산 영도구 동삼동 1-4
한국해양대학교 주차장12,부산 영도구 동삼동 1125-18
한국해양대학교 주차장2,부산 영도구 동삼동 산 1-2
한국해양대학교 주차장4,부산 영도구 동삼동 산 1-7
한국해양대학교 주차장5,부산 영도구 동삼동 산 1-3
한국해양대학교 해사대학 신관,부산 영도구 동삼동 1
한국해양대학교 해양공간건축학부,부산 영도구 태종로 727 한국해양대학교 해과기대학관 410호
한국해양대학교 해양과학기술전문대학원,부산 영도구 태종로 727 대학본부동 4층
한국해양대학교 해양금융대학원,부산 영도구 태종로 727 해양인문사회과학대학 경제산업학관 3006호
한국해양대학교 해양벤처진흥센터,부산 영도구 동삼동 1168 산학허브관 706호
한국해양대학교 혁신지구캠퍼스 산학허브관,부산 영도구 동삼동 1168
한국해양대학교언론사,부산 영도구 태종로 727 다솜회관 1층
한국해양대학교총동창회,부산 동구 중앙대로180번길 12-14
해양대학 구내안경점,부산 영도구 태종로 727 후생복지관 3층
화신사이버대학교,부산 연제구 고분로191번길 1
화신사이버대학교 부설 원격평생교육원,부산 연제구 고분로191번길 1 2층
환희불교복지대학,부산 사하구 제석로95번길 35
