학교이름,행정동명
명지중학교,명지1동
녹산중학교,명지1동
명호중학교,명지1동
지사중학교,녹산동
오션중학교,명지2동
신호중학교,녹산동
대저중학교,대저2동
덕문중학교,가덕도동
송정중학교,가락동
경일고등학교,명지1동
부산소프트웨어마이스터고등학교,가락동
부산강서고등학교,대저1동
부산대저고등학교,대저2동
덕문고등학교,가덕도동
명호고등학교,명지1동
