총반납대여,시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명,cluster,,,,,,
0.405226975,1.294669908,-0.85068358,-0.577350269,0.51589897,-1.062566599,-0.145622099,1.043600036,-0.675570765,-0.329617127,-0.468521286,오류2동,2,,,,,,
0.398441697,-0.251624227,1.531997795,-0.577350269,-1.259365044,-1.142404698,0.178341488,-0.648724346,-0.675570765,-0.329617127,-0.468521286,왕십리도선동,3,,,,,,
0.384789718,-0.67334081,-0.354483716,-0.577350269,-3.140008119,-0.900428432,0.166277714,0.761545972,0.649077794,-0.329617127,-0.468521286,혜화동,3,,,,,,
0.38459973,-0.67334081,0.265813157,-0.577350269,-0.373849676,-1.794802724,-0.095040041,2.17181629,-0.675570765,-0.329617127,-0.468521286,대방동,3,,,,,,
0.379904318,1.154097714,2.439063191,-0.577350269,1.298455471,0.981077719,1.216918404,-0.366670283,0.649077794,-0.329617127,-0.468521286,화곡1동,3,,,,,,
0.373526157,-1.095057392,1.379957791,-0.577350269,0.80573172,0.747761327,-0.656851973,0.761545972,-0.675570765,-0.329617127,-0.468521286,송파2동,3,,,,,,
0.364189615,-0.532768616,0.111703302,-0.577350269,0.058012816,0.652096292,0.320336554,0.197437845,-0.675570765,-0.329617127,-0.468521286,영등포본동,3,,,,,,
0.359657049,0.029520161,0.854874089,1.732050808,0.80573172,0.747761327,-0.505429352,-0.93077841,-0.675570765,-0.329617127,-0.468521286,잠실본동,4,,,,,,
0.359602767,-0.251624227,-0.675498873,-0.577350269,1.298455471,0.981077719,-0.656851973,-0.366670283,-0.675570765,-0.329617127,2.134374746,가양2동,0,,,,,,
0.347389267,0.170092355,-0.572570801,-0.577350269,1.10175887,-0.522457753,-0.545980462,-0.648724346,-0.675570765,-0.329617127,2.134374746,잠원동,0,,,,,,
0.343915205,-0.954485198,0.16119157,-0.577350269,1.298455471,0.981077719,-0.656851973,-0.93077841,-0.675570765,-0.329617127,-0.468521286,화곡6동,2,,,,,,
0.343752358,-0.813913004,1.288413902,-0.577350269,-0.766703467,-1.825324425,0.538089912,-0.366670283,1.973726354,-0.329617127,-0.468521286,창5동,3,,,,,,
0.338514124,0.170092355,-0.868559571,-0.577350269,-0.544689513,-2.120861052,-0.490513658,1.889762227,-0.675570765,1.239988238,-0.468521286,망우본동,5,,,,,,
0.333085901,-1.37620178,1.454754699,1.732050808,0.302079982,0.296009772,-0.656851973,0.479491908,-0.675570765,-0.329617127,-0.468521286,신정2동,4,,,,,,
0.32084526,-1.516773974,-0.670794665,1.732050808,-1.259365044,-1.142404698,-0.656851973,-0.93077841,-0.675570765,-0.329617127,-0.468521286,송정동,4,,,,,,
0.320411003,-0.954485198,0.226674146,1.732050808,-0.482344709,-0.130686656,-0.656851973,1.889762227,-0.675570765,1.239988238,-0.468521286,휘경2동,4,,,,,,
0.318293996,-0.251624227,-0.323906363,-0.577350269,-0.235590113,1.323080221,-0.408617263,-1.212832474,-0.675570765,1.239988238,2.134374746,서강동,0,,,,,,
0.316041284,-0.67334081,0.260356276,1.732050808,-0.235590113,1.323080221,-0.656851973,-0.648724346,-0.675570765,-0.329617127,-0.468521286,성산1동,4,,,,,,
0.308197502,1.013525519,-1.133876905,-0.577350269,-2.535653058,-1.278211533,0.060405336,-0.93077841,1.973726354,1.239988238,-0.468521286,광희동,5,,,,,,
0.308061797,-0.111052033,-0.044758658,-0.577350269,0.304273894,-0.034167469,-0.233496456,-0.648724346,-0.675570765,-0.329617127,-0.468521286,녹번동,3,,,,,,
0.294626947,-0.392196422,1.044077337,-0.577350269,0.053341159,-0.506513581,1.180951364,-0.084616219,-0.675570765,-0.329617127,-0.468521286,상계2동,3,,,,,,
,,,,,,,,,,,,,,,,,,
1.00712498,,,,,,,,,,,,,,,,,,
