학교이름,행정동명,,,
함지골공원,동삼1동,,,
광명어린이공원,동삼1동,,,
동삼근린공원,동삼1동,,,
동삼혁신지구근린공원,동삼1동,,,
상리어린이공원,동삼1동,,,
아미르공원,동삼1동,,,
영도 어울림문화공원 출입구,동삼1동,,,
와치어린이공원,동삼1동,,,
절영어린이공원,동삼1동,,,
중리어린이공원,동삼1동,,,
태종대공원 주차장,동삼1동,,,
푸른어린이공원,동삼1동,,,
청학배수지 체육공원,동삼1동,,,
75광장,동삼1동,,,
일산봉어린이공원,동삼3동,,,
팔각어린이공원,동삼3동,,,
한빛어린이공원,만덕1동,,,
하늘어린이공원,만덕2동,,,
하얀마음어린이공원,만덕2동,,,
상록어린이공원,만덕2동,,,
백양근린공원,만덕2동,,,
만덕사지당간지주역사공원,만덕2동,,,
한마음어린이공원,만덕2동,,,
백운어린이공원,만덕2동,,,
동심초어린이공원,만덕2동,,,
풀소리어린이공원,만덕2동,,,
파란마음어린이공원,만덕2동,,,
신덕어린이공원,만덕2동,,,
상학소공원,만덕2동,,,
새소리어린이공원,만덕2동,,,
물소리어린이공원,만덕2동,,,
물샘어린이공원,만덕2동,,,
상계소공원,만덕2동,,,
체담한방병원,만덕2동,,,
함박어린이공원,만덕2동,,,
개나리공원,만덕3동,,,
수영SK뷰어린이집,망미1동,,,
망미동 주민쉼터,망미1동,,,
망미어린이공원 놀이터,망미1동,,,
광안3동 체육공원,망미1동,,,
강변공원,망미1동,,,
과정공원,망미1동,,,
배산공원,망미1동,,,
해오름공원,망미1동,,,
햇살공원,망미1동,,,
동래사적공원,명륜동 ,,,
명서공원,명장1동 ,,,
명장소공원,명장1동 ,,,
명장한마음공원,명장1동 ,,,
세실공원,명장1동 ,,,
화현공원,명장1동 ,,,
스페셜 PC방,명장2동 ,,,
평화공원,명장2동 ,,,
신호문화공원,명지1동,,,
녹산수문공원,명지1동,,,
꽃게어린이공원,명지1동,,,
꿀벌어린이공원,명지1동,,,
나뭇잎어린이공원,명지1동,,,
남명어린이공원,명지1동,,,
너울공원,명지1동,,,
늘품어린이공원,명지1동,,,
도담어린이공원,명지1동,,,
도요새공원,명지1동,,,
돛단배어린이공원,명지1동,,,
두루미공원,명지1동,,,
등대어린이공원,명지1동,,,
맹꽁어린이공원,명지1동,,,
명지근린공원,명지1동,,,
명지소공원,명지1동,,,
명호어린이공원,명지1동,,,
물결공원,명지1동,,,
물떼새공원,명지1동,,,
바다공원,명지1동,,,
봄뜰어린이공원,명지1동,,,
부산명지지구 문화공원,명지1동,,,
소리공원,명지1동,,,
신포나루공원,명지1동,,,
올림공원 어린이놀이터,명지1동,,,
울림공원,명지1동,,,
철새탐방공원,명지1동,,,
큰배어린이공원,명지1동,,,
파도어린이공원,명지1동,,,
해오라기공원,명지1동,,,
갈대성어린이공원,명지2동,,,
큰나무어린이공원,명지2동,,,
별무리어린이공원,명지2동,,,
엠탐PC토랑 명지점,명지2동,,,
웰하이여성아동병원,명지2동,,,
링컨어린이공원,명지2동,,,
에디슨어린이공원,명지2동,,,
고동바위공원,모라1동,,,
야시곡공원,모라1동,,,
곡상골공원,모라1동,,,
모라백양공원,모라1동,,,
모라벤처타워공원,모라1동,,,
모라틔움공원,모라1동,,,
서당골공원,모라1동,,,
어울림공원,모라1동,,,
모라산림공원,모라3동,,,
운수공원,모라3동,,,
이편한세상시민공원어린이집,문현1동 ,,,
 HF보금자리어린이집,문현2동 ,,,
BIFC어린이집,문현2동 ,,,
문현혁신도시문화공원A,문현3동 ,,,
문현어린이공원,문현3동 ,,,
문현혁신도시문화공원B,문현3동 ,,,
개나리어린이공원,문현3동 ,,,
광선대,문현3동 ,,,
통일동산어린이공원,문현3동 ,,,
문현교통광장,문현4동 ,,,
대연2구역어린이공원,문현4동 ,,,
메인즈PC,문현4동 ,,,
새로생긴pc방,문현4동 ,,,
업타운PC,문현4동 ,,,
21센츄리오피스텔,문현4동 ,,,
PC COOK,문현4동 ,,,
Pc.Cook,문현4동 ,,,
박원욱병원,민락동,,,
아이파크 PC,민락동,,,
아이파크 PC방 우동점,민락동,,,
너울 어린이공원 주차장,민락동,,,
광안해변공원,민락동,,,
널구지공원,민락동,,,
민락공원,민락동,,,
민락공원앞교차로,민락동,,,
민락수변공원 노상공영주차장,민락동,,,
수변어린이공원 공영주차장,민락동,,,
수영효도요양원,민락동,,,
민락수변공원 어린이놀이터,민락동,,,
삼천포 수변공원점,민락동,,,
광안참사랑요양병원,민락동,,,
광안정다운요양병원,민락동,,,
민락수변공원,민락동,,,
늘봄어린이공원,반송1동,,,
석대구민체육공원 농구장,반송1동,,,
소공원,반송1동,,,
수변공원 배드민턴장1,반송1동,,,
어울림어린이공원,반송1동,,,
YMCA 어린이집,반송1동,,,
꽃망울어린이공원,반송1동,,,
담안골근린공원,반송1동,,,
반송공원,반송1동,,,
수피아공원,반송1동,,,
꽃다래공원,반송1동,,,
운봉어린이공원,반송2동,,,
새로생긴PC방 반여점,반여1동,,,
명장근린공원,반여1동,,,
가온공원,반여1동,,,
꿈누리공원,반여1동,,,
꿈에어린이공원,반여1동,,,
노을공원,반여1동,,,
바람공원,반여1동,,,
반여공원,반여1동,,,
별바라기어린이공원,반여1동,,,
수영강시민공원,반여1동,,,
아시아 선수촌근린공원,반여1동,,,
초록공원,반여1동,,,
한마음공원,반여1동,,,
희망어린이공원,반여1동,,,
새싹어린이공원,반여1동,,,
해운대 한빛요양병원,반여1동,,,
OX PC장산점,반여2동,,,
명장배수지상부체육공원 인라인스케이트장,반여4동,,,
증산공원,범일1동,,,
범일배수지공원,범일1동,,,
춘해병원,범일1동,,,
메타한방병원,범일1동,,,
리오라여성의원,범일1동,,,
OX PC방 양정점,범일1동,,,
PC쿠치나,범일1동,,,
부산 범일 로얄팰리스 2차,범일2동,,,
범일동산 산림공원,범일2동,,,
좌천범일어린이공원,범일5동,,,
부산제2항운병원,범천1동,,,
부산평화시장,범천1동,,,
시민장례식장,범천1동,,,
만리산체육공원,범천2동,,,
중앙공원 주차장,보수동,,,
화창한병원,부곡2동,,,
가마실공원,부곡2동,,,
공수물공원,부곡2동,,,
구월공원,부곡2동,,,
기찰공원,부곡2동,,,
너울소공원,부곡2동,,,
윤산체육공원 공중화장실,부곡2동,,,
(주)베스파레포츠,부곡4동,,,
희망숲속 방재공원,부곡4동,,,
부산시민공원,부암1동,,,
시민공원치안센터,부암1동,,,
은하수어린이공원,부암3동,,,
동양어린이공원,부암3동,,,
유원골든타워 오피스텔,부전1동,,,
제스트PC,부전2동,,,
아이린PC&플스,부전2동,,,
서면시장,부전2동,,,
하늘성형외과의원,부전2동,,,
꿈꾸는 PC n COOK,부전2동,,,
엔쿡 피시방 서면본점,부전2동,,,
쌈지공원,부전2동,,,
부산 파이낸스 센터,부전2동,,,
청맥병원,부전2동,,,
삼정타워,부전2동,,,
삼정타워 서면점 챔피언 어린이놀이시설,부전2동,,,
로떼PC카페,부전2동,,,
자드PC방,부전2동,,,
MEGA 3POP 부산본점,부전2동,,,
3POP PC,부전2동,,,
중구청 용두산공원공영주차장 전기차충전소,부평동,,,
리코스타 PC CAFE,부평동,,,
온새미로공원,사직2동 ,,,
3POP PC방,사직2동 ,,,
동래온천헬스공원,사직3동 ,,,
반려동물 산책놀이공원,사직3동 ,,,
사직놀이공원,사직3동 ,,,
쇠미소공원,사직3동 ,,,
스위첸공원,사직3동 ,,,
사상둔치공원,삼락동,,,
삼락강변체육공원 부산광역시잔디양묘장,삼락동,,,
삼락생태공원,삼락동,,,
젠PC방,서2동,,,
윤빛공원,서3동,,,
서명상상어린이공원,서3동,,,
구덕문화공원,서대신4동,,,
대신공원,서대신4동,,,
단골병원,선두구동,,,
삼한골든뷰,선두구동,,,
부산시립공원묘지,선두구동,,,
부산영락공원,선두구동,,,
맘스터치 부산금정체육공원점,선두구동,,,
스포원파크 가족공원,선두구동,,,
영락공원,선두구동,,,
조리1공원,선두구동,,,
푸조나무숲공원,선두구동,,,
여울생태숲,선두구동,,,
영락공원지하차도,선두구동,,,
죽도공원,송정동,,,
송정어울림체육공원,송정동,,,
구덕포공원,송정동,,,
솔바람공원,송정동,,,
송정공원,송정동,,,
송정솔그늘숲길,송정동,,,
수안체육공원,수민동 ,,,
온천천시민공원 농구장2,수민동 ,,,
BRB PC방,수민동 ,,,
낙민공원,수민동 ,,,
그린라인파크,수민동 ,,,
낙민공원 놀이터,수민동 ,,,
수민어울공원,수민동 ,,,
연안꽃동산공원,수민동 ,,,
대하공원,수영동,,,
오엑스피시 수영교차로점,수영동,,,
수영공원,수영동,,,
너울공원,수영동,,,
너울어린이공원,수영동,,,
가나안요양병원,수영동,,,
센텀해인요양병원,수영동,,,
의료법인 센텀의료재단 부산센텀병원,수영동,,,
센텀사랑의병원,수영동,,,
수영사적공원,수영동,,,
REVEL PC방,수영동,,,
중앙공원,수정2동,,,
수정가로공원,수정2동,,,
고지대그린테마공원,수정2동,,,
수정산가족체육공원,수정5동,,,
구평뜰공원,신평1동,,,
강변환경공원,신평2동,,,
신평배수지,신평2동,,,
하늘땅별땅공원,신평2동,,,
제노스PC,신평2동,,,
휴PC,신평2동,,,
연안수민공원,안락2동 ,,,
더락PC카페,안락2동 ,,,
더락PC카페 ,안락2동 ,,,
안락꽃밭공원,안락2동 ,,,
안락꿈돌이공원,안락2동 ,,,
팽나무공원,암남동,,,
암남공원,암남동,,,
송림공원,암남동,,,
부산국가지질공원 송도반도,암남동,,,
두도공원,암남동,,,
송도오션파크,암남동,,,
양정꿈동산어린이공원,양정1동,,,
양지공원,양정1동,,,
화지공원,양정1동,,,
PC토랑 부산양정점,양정1동,,,
부산여자대학교 다촌문화관,양정1동,,,
동의의료원 (동의병원,양정2동,,,
엄궁유수지공원,엄궁동,,,
나라어린이공원,엄궁동,,,
다온공원,엄궁동,,,
보듬공원,엄궁동,,,
장밭갓공원,엄궁동,,,
절골공원,엄궁동,,,
하드캐리피씨방,엄궁동,,,
아이사랑병원,연산1동,,,
연봉공원,연산1동,,,
물만골공원,연산2동,,,
수련둘공원,연산2동,,,
수련하나공원,연산2동,,,
바람고개체육공원,연산4동,,,
강변공원,연산4동,,,
거울바위공원,연산4동,,,
늘푸른공원,연산4동,,,
새싹공원,연산4동,,,
쌍미공원,연산4동,,,
연산공원,연산4동,,,
연이공원,연산4동,,,
연제문화체육공원,연산4동,,,
연화공원 부산사랑터,연산4동,,,
옛골공원,연산4동,,,
온천천시민공원,연산4동,,,
월륜공원,연산4동,,,
토곡근린공원,연산4동,,,
토현쌈지공원,연산4동,,,
하늘빛어린이공원,연산4동,,,
한들공원,연산4동,,,
한빛공원,연산4동,,,
근린공원,연산5동,,,
녹음광장,연산5동,,,
자드PC,연산5동,,,
부산광역시청 등대광장,연산5동,,,
꿈나무공원,연산5동,,,
과정공원,연산8동,,,
햇살공원,연산8동,,,
한빛병원,연산8동,,,
연천공원,연산9동,,,
더샵파크시티어린이집,연산9동,,,
이마트 트레이더스 연산점 챔피언 더 블랙벨트,연산9동,,,
연지어린이공원,연지동,,,
중앙공원 무궁화동산,영주1동,,,
민주공원 4.19광장,영주1동,,,
영주어린이공원,영주1동,,,
영주배수지체육공원,영주1동,,,
중구청 대청공원공영주차장 전기차충전소,영주2동,,,
동래사적공원민간공원조성특례사업아파트 (예정),온천2동 ,,,
꿈나무공원,온천2동 ,,,
산저공원,온천2동 ,,,
솥밭공원,온천2동 ,,,
숲향기공원,온천2동 ,,,
온천어린이공원,온천2동 ,,,
하늘공원,온천2동 ,,,
금강공원,온천2동 ,,,
나무공원빌딩,온천2동 ,,,
미남공원,온천3동 ,,,
사직한밭공원,온천3동 ,,,
무제등소공원,용당동 ,,,
피플PC방,용호1동 ,,,
OX PC 용호동점,용호1동 ,,,
이기대공원,용호2동 ,,,
오륙도해맞이소공원,용호3동 ,,,
백운포체육공원,용호3동 ,,,
용호별빛공원,용호3동 ,,,
솔밭어린이공원,용호3동 ,,,
가로공원,용호3동 ,,,
용삼어린이공원,용호3동 ,,,
