학교이름,행정동명,,,
프리마요양병원,연산4동,,,
토끼와당근어린이집,연산9동,,,
연제일신산후조리원,연산4동,,,
센텀마티안,재송1동,,,
하나금융어린이집,연산4동,,,
토곡어린이집,연산9동,,,
보엠어린이집,연산4동,,,
거제드림어린이집,거제2동,,,
워크재활의학과병원,연산4동,,,
발리24시대중사우나,연산5동,,,
나라키움부산통합청사,거제3동,,,
의료법인 노송의료재단 시티요양병원,모라1동,,,
부산의료원노인전문제2병원,거제2동,,,
부산의료원장례식장,거제2동,,,
㈜장연빌딩,연산5동,,,
시티타워,연산5동,,,
명은병원,거제1동,,,
해운대백병원,재송2동,,,
안심요양병원,연산9동,,,
한양류마디병원,연산8동,,,
대양어린이집,연산9동,,,
연산SK뷰단지빌딩,연산4동,,,
해운대푸르지오시티,재송1동,,,
오시리아스퀘어,기장읍,,,
오시리아스퀘어,기장읍,,,
파크하얏트부산,재송2동,,,
웰니스병원,연산1동,,,
센텀T-TOWER,재송2동,,,
울트라PC,재송2동,,,
대영스포렉스,연산9동,,,
이케아 동부산점,기장읍,,,
이케아 다기스(동부산) 어린이집,기장읍,,,
센트럴원,기장읍,,,
곰두리어린이집,연산4동,,,
하늘나리어린이집,모라1동,,,
홈플러스연산점,연산1동,,,
홈플러스연산점,연산1동,,,
센텀호텔㈜,재송1동,,,
부산검찰어린이집,거제1동,,,
홈플러스아시아드점,거제2동,,,
홈플러스아시아드점,거제2동,,,
(주)해수피아,연산1동,,,
(주)해수피아,연산1동,,,
이룸제이타워,재송2동,,,
연제나라요양병원,거제1동,,,
롯데마트,기장읍,,,
주성산빌딩,거제1동,,,
부산법원어린이집,거제1동,,,
하나둘어린이집,거제2동,,,
오시리아테마파크판매시설(A동),기장읍,,,
오시리아테마파크판매시설(B동),기장읍,,,
센텀사이언스파크,재송2동,,,
예향어린이집,거제1동,,,
북부교육청,구포2동,,,
무지개언덕노인전문요양센터,구포3동,,,
장선어린이집,구포3동,,,
(사)부산의료선교회세계로병원,사직1동 ,,,
동백 어린이집,송정동,,,
보림프라자 상가,수민동 ,,,
스펀지어린이집,안락2동 ,,,
승원어린이집,사직3동 ,,,
양덕어린이집,사직3동 ,,,
부산경찰청어린이집,사직2동 ,,,
좋은날에 드라마산후조리원,안락2동 ,,,
좋은날에 드라마여성병원,안락2동 ,,,
(의)동영의료재단 상록병원,안락2동 ,,,
삼정자이언츠파크,사직1동 ,,,
㈜한양프라자부산점,거제1동,,,
(의)은빛의료재단 좋은애인병원,수민동 ,,,
포천초교 공영주차장,구포3동,,,
노블레스요양병원,안락2동 ,,,
힐스파(금진),반여1동,,,
동래봉생병원,안락1동 ,,,
우리들어린이집,안락1동 ,,,
동래아동병원,안락1동 ,,,
현대해상온마음 어린이집,사직1동 ,,,
아망떼PC존 동래점,안락1동 ,,,
준요양병원,안락1동 ,,,
신세계백화점 센텀시티점,반여2동,,,
숲속은성어린이집,구포3동,,,
부산항운병원,안락1동 ,,,
부산힐튼호텔,기장읍,,,
아난티펜트하우스,기장읍,,,
미래병원,안락1동 ,,,
효림어린이집,구포2동,,,
구포부민병원,구포2동,,,
부산은빛요양병원(구.참행복 요양병원),구포2동,,,
강변어린이집,강동동,,,
사직레포츠대중탕,사직1동 ,,,
르노삼성자동차 동래사업소,수민동 ,,,
새안락병원,안락2동 ,,,
맑은샘,구포3동,,,
동래우리들병원,수민동 ,,,
부전교회,사직3동 ,,,
(의)은빛의료재단 참사랑요양병원,수민동 ,,,
한빛어린이집,안락1동 ,,,
BNK해운대 어린이집,반여3동,,,
삼정그린어린이집,기장읍,,,
벡스코,반여1동,,,
(주)BYC마트,반여1동,,,
대붕빌딩,수민동 ,,,
(의)상원의료재단부산힘찬병원,수민동 ,,,
(의)상원의료재단부산힘찬병원,수민동 ,,,
대신증권(주) 동래사옥,수민동 ,,,
혜화어린이집,명장1동 ,,,
한화생명(주)명륜동 사옥,명륜동 ,,,
동래성모병원,명륜동 ,,,
동래시장,복산동 ,,,
메가마트 동래점,명륜동 ,,,
메가마트 동래점,명륜동 ,,,
해운대백병원 장례식장,반여4동,,,
구포일심요양병원,구포2동,,,
대동병원,명륜동 ,,,
대동병원,명륜동 ,,,
예능어린이집,복산동 ,,,
신세계백화점 센텀시티점,반여1동,,,
(사)한국건강관리협회 건강증진의원,온천2동 ,,,
미남동의요양병원,온천3동 ,,,
예담어린이집,구포1동,,,
SH TOWER,반여1동,,,
세화병원,온천3동 ,,,
풀잎 어린이집,반여1동,,,
으뜸요양병원,온천3동 ,,,
부산노인전문제1병원,만덕3동,,,
쁘띠쁘아어린이집,온천3동 ,,,
(의)장수의료재단 동래요양병원,명륜동 ,,,
만덕도서관,만덕2동,,,
(의)광혜의료재단 광혜병원,온천3동 ,,,
현대어린이집,명륜동 ,,,
사직요양병원,온천2동 ,,,
햇살가득한어린이집,덕천2동,,,
복천박물관,복산동 ,,,
한독온천어린이집,온천3동 ,,,
해운대 라뮤에뜨,반여4동,,,
주영어린이집,명장2동 ,,,
화영어린이집,덕천2동,,,
로뎀노인요양원,덕천2동,,,
다사랑요양병원,만덕2동,,,
구포성심병원,구포1동,,,
꿈동산어린이집,만덕2동,,,
럭키동래쇼핑,온천2동 ,,,
덕양어린이집,덕천3동,,,
해뜨락요양병원,만덕2동,,,
수정안과의원,덕천2동,,,
덕천3동 공영주차장,덕천3동,,,
덕천지하주차장,덕천2동,,,
트럼프월드센텀상가,반여4동,,,
더락PC카페 덕천점,덕천2동,,,
해뜨락요양원,만덕2동,,,
한사랑내과의원,덕천2동,,,
연우어르신의 집,만덕2동,,,
뉴코아 덕천점(대규모점포),덕천2동,,,
뉴코아 덕천점(실내주차장),덕천2동,,,
덕천요양병원,덕천2동,,,
덕천지하상가 태아쇼핑,덕천2동,,,
미래로 산후조리원,덕천2동,,,
미래로병원,덕천2동,,,
미래로병원(실내주차장)(동서디에스),덕천2동,,,
리치웰휘트니스덕천스파(구.프라임),덕천2동,,,
센트럴병원,덕천2동,,,
사회복지법인 황전 황전요양원,온천3동 ,,,
롯데마트 동래점,온천2동 ,,,
롯데마트 동래점,온천2동 ,,,
롯데쇼핑㈜동래점,온천2동 ,,,
롯데쇼핑㈜동래점,온천2동 ,,,
아하브병원,만덕1동,,,
아하브요양병원,만덕1동,,,
서광자연어린이집,만덕2동,,,
부민병원,덕천1동,,,
제일행복한어린이집,덕천3동,,,
가빈어린이집,만덕3동,,,
노벨어린이집,만덕3동,,,
청록만덕실버센터,만덕2동,,,
시원항병원,덕천2동,,,
굿윌치과병원,덕천2동,,,
엔젤인어린이집,만덕2동,,,
경희요양병원,덕천1동,,,
남산정요양병원,덕천1동,,,
늘봄실버요양센터,명장2동 ,,,
사회복지법인 해월 무량수노인요양원,온천2동 ,,,
부산컴퓨터 도매상가,온천1동 ,,,
부산컴퓨터 도매상가,온천1동 ,,,
만덕1어린이집,만덕1동,,,
온사랑병원,서3동,,,
서동제일요양병원,서2동,,,
사단법인 대승불교보광정사 보광요양병원,금사회동동,,,
세웅병원,서2동,,,
마야어린이집,금사회동동,,,
(의)영신의료재단 동래유유요양병원,온천1동 ,,,
행복한그림동산어린이집,금사회동동,,,
산새소리어린이집,덕천1동,,,
(의)온의료재단 신세계요양병원,온천1동 ,,,
금정산뉴웰시티어린이집,만덕1동,,,
아름다운강산병원,금사회동동,,,
동래 SK뷰 3차 어린이집,온천1동 ,,,
화명일신기독병원조리원,덕천2동,,,
성산현대요양병원,명륜동 ,,,
충렬어린이집,반송1동,,,
한솔어린이집,만덕1동,,,
의료법인 대성사랑의료재단 제일요양병원,서3동,,,
리틀해오름어린이집,만덕1동,,,
롯데몰 동부산점,기장읍,,,
롯데몰 동부산점,기장읍,,,
꿈사랑어린이집,서3동,,,
나르샤병원,온천1동 ,,,
의료법인 강혜의료재단온천사랑의요양병원,온천1동 ,,,
(의)윤재의료재단 금강요양병원,온천1동 ,,,
대한예수교장로회오산교회,반송1동,,,
신창요양병원,중앙동,,,
해운대 오션프라임,반송1동,,,
맥켄지일신기독병원,덕천2동,,,
부곡요양병원,부곡4동,,,
허심청,온천1동 ,,,
허심청,온천1동 ,,,
에스케이허브스카이위아,온천1동 ,,,
에스케이허브스카이위아 ㈜위아에셋,온천1동 ,,,
홈플러스(주) 동래점,온천1동 ,,,
홈플러스(주) 동래점,온천1동 ,,,
챔피언 허브스카이점,온천1동 ,,,
(의)윤재의료재단금정요양병원,온천1동 ,,,
해양자연사박물관,온천1동 ,,,
의료법인세왕의료재단 세왕요양병원,장전2동,,,
(의)피터의료재단 새소망요양병원,기장읍,,,
지온병원,장전2동,,,
온누리요양원,반송1동,,,
꾸미랑어린이집,부곡1동,,,
수연어린이집,장전2동,,,
의료법인 삼세의료재단 삼세한방병원,부곡1동,,,
화명어린이집,화명1동,,,
사랑요양병원,부곡2동,,,
부곡어린이집,부곡2동,,,
롯데백화점 센텀시티점,반송1동,,,
양지요양병원,장전2동,,,
래미안장전 어린이집,장전2동,,,
스타자동차㈜ [메르세데스벤츠 해운대서비스센터],반송1동,,,
애광노인요양원,장전2동,,,
애광치매전문요양원,장전2동,,,
안평노인요양원,장전2동,,,
장전제일교회어린이집,장전2동,,,
아이원어린이집,부곡2동,,,
부산노인전문 제3병원,반송2동,,,
의료법인 영파의료재단 규림요양병원,장전2동,,,
의료법인 영파의료재단 마음향기병원,장전2동,,,
아이린pc방,장전2동,,,
3 pop pc(부산대정문점),장전2동,,,
신망애노인요양원 ,장전2동,,,
신망애치매전문요양원,장전2동,,,
한샘센텀,반송2동,,,
동래노인요양원,장전2동,,,
엘리움,반송2동,,,
화명일신기독병원,화명1동,,,
NC 부산대점(백화점),장전2동,,,
NC 부산대점(실내주차장),장전2동,,,
화명도서관,화명3동,,,
코코몽 키즈랜드 부산대점,장전2동,,,
기장웨이브리즈어린이집,기장읍,,,
맘스웰 산후조리원,화명1동,,,
더미즈웰산부인과,화명1동,,,
삼한골든뷰,화명3동,,,
롯데쇼핑㈜롯데마트 화명점(대규모점포),화명3동,,,
롯데쇼핑㈜롯데마트 화명점(실내주차장),화명3동,,,
순산후조리원 신관,부곡3동,,,
베스티안부산병원,화명3동,,,
오아시스사우나,화명3동,,,
ox화명본점,화명3동,,,
(의)서일의료재단 기장병원,기장읍,,,
부산대학교 직장 어린이집,장전1동,,,
부산대학교부설어린이집,장전1동,,,
순여성병원,부곡3동,,,
BNK금정어린이집,장전1동,,,
엔젤어린이집,기장읍,,,
평거요양병원,기장읍,,,
사이버존PC방,장전1동,,,
부산레포츠 찜질방,장전1동,,,
아이파크PC방,부곡3동,,,
히트PC,장전1동,,,
한솔어린이집,기장읍,,,
키즈클럽해맑은어린이집,기장읍,,,
롯데마트 금정점(실내주차장),부곡3동,,,
꼬마대통령어린이집,화명2동,,,
한마음노인건강센터,기장읍,,,
산새소리어린이집,기장읍,,,
키즈킹덤어린이집,화명2동,,,
금정구청어린이집,부곡3동,,,
의료법인 선우의료재단 BHS동래한서요양병원,부곡3동,,,
기장시장,기장읍,,,
기장군 보건소,기장읍,,,
의료법인 동일의료재단 금정나라요양병원,부곡3동,,,
정화노인요양원,화명2동,,,
기장실버타운,기장읍,,,
금정문화회관(실내주차장),구서1동 ,,,
구서오시게시장,구서1동 ,,,
포도원 드림센터,금곡동,,,
현대요양병원,기장읍,,,
신세계이마트금정점,구서1동 ,,,
신세계이마트금정점(실내주차장),구서1동 ,,,
나눔의료재단 행림요양병원,구서1동 ,,,
(주)농협유통 하나로클럽 부산점(대규모점포),금곡동,,,
(주)농협유통 하나로클럽 부산점(실내주차장),금곡동,,,
기장연세요양병원,기장읍,,,
참조은어린이집,기장읍,,,
부산마이크로병원,구서2동,,,
초록어린이집,기장읍,,,
두실공영주차장,구서2동,,,
㈜스포케이,구서2동,,,
메가마트 기장점,일광읍,,,
전원어린이집,기장읍,,,
선재어린이집,구서2동,,,
동성어린이집,구서2동,,,
나무야어린이집,구서2동,,,
바벨PC 시즌2,구서2동,,,
메드윌병원,구서2동,,,
좋은리버뷰요양병원,금곡동,,,
좋은장례식장,금곡동,,,
의료법인 좋은사람들의료재단 관자재요양병원,남산동,,,
반여3동어린이집,철마면,,,
금정형주요양병원,남산동,,,
일광어린이집,일광읍,,,
새우리남산병원,남산동,,,
애플PC방,남산동,,,
창의글로벌어린이집,금곡동,,,
남산(농수산)시장,남산동,,,
금샘어린이집,남산동,,,
그림동산어린이집,남산동,,,
금정도서관,청룡노포동,,,
키즈몬,청룡노포동,,,
의료법인 천지의료재단 금샘요양병원,청룡노포동,,,
금정노인요양원,청룡노포동,,,
부산종합버스터미널,청룡노포동,,,
기장노인의료센터,일광읍,,,
동래병원,선두구동,,,
안델센어린이집,선두구동,,,
칠암어린이집,일광읍,,,
삼동어린이집,철마면,,,
차타타 부산 기장점 키즈카페,정관읍,,,
정관8어린이집,정관읍,,,
효산요양원,철마면,,,
기장실버홈,정관읍,,,
장안어린이집,장안읍,,,
정관산업단지 공동직장 어린이집,정관읍,,,
힐탑프리미엄아울렛,장안읍,,,
힐탑프리미엄아울렛,장안읍,,,
원앤원스카이기숙학원,정관읍,,,
키위키즈랜드,장안읍,,,
탑스퀘어,정관읍,,,
탑스퀘어,정관읍,,,
동남권원자력의학원,장안읍,,,
동남권원자력의학원,장안읍,,,
동남권원자력의학원,장안읍,,,
정관온천,정관읍,,,
홈플러스 부산정관점,정관읍,,,
홈플러스 부산정관점,정관읍,,,
정관아이비어린이집,정관읍,,,
신세계 사이먼,장안읍,,,
태흥당한방병원,정관읍,,,
정관도서관,정관읍,,,
정관박물관,정관읍,,,
피올라어린이집,정관읍,,,
정관보건지소,정관읍,,,
정관옥스퍼드어린이집,정관읍,,,
한수원 한빛어린이집,장안읍,,,
오즈어린이집,정관읍,,,
애플골프존(애플타워),정관읍,,,
리틀하버드어린이집,정관읍,,,
청담자연어린이집,정관읍,,,
선양시니어빌리지,장안읍,,,
숲속나라어린이집,정관읍,,,
봄뜰어린이집,정관읍,,,
다인요양원,장안읍,,,
효성노인건강센터,장안읍,,,
효성제일노인건강센터,장안읍,,,
반석노인건강센터,장안읍,,,
팬오션(구.STX) 정오개발부산빌딩,대명5동,,,
센텀코아,죽장면,,,
기술신용보증기금,문현2동 ,,,
(주)이마트 문현점,문현2동 ,,,
㈜ 이마트 문현점,문현2동 ,,,
IFC부산 오슬로파크,문현2동 ,,,
문현금융단지IFC부산 복합시설,문현2동 ,,,
캐니언파크 어린이놀이시설,문현2동 ,,,
부산은행 본점,문현2동 ,,,
부산국제금융센터 실내주차장,문현2동 ,,,
비아이에프씨몰(BIFC Mall),문현2동 ,,,
한빛어린이집,문현4동 ,,,
대림찜질사우나,문현4동 ,,,
아이세상어린이집,문현1동 ,,,
제니스파크요양병원,우암동 ,,,
한누리어린이집,대연6동 ,,,
동천어린이집,감만1동 ,,,
홈플러스㈜ 부산감만점,감만2동 ,,,
남구청 실내주차장,대연6동 ,,,
새라새요양병원,감만2동 ,,,
인창대연요양병원,대연1동 ,,,
BH병원,대연6동 ,,,
샬롬어린이집,감만2동 ,,,
남부교육지원청,대연6동 ,,,
부산성소병원,대연6동 ,,,
윌리스요양병원,대연6동 ,,,
양문어린이집,감만2동 ,,,
마미캠프산후조리원,대연4동 ,,,
천사어린이집,대연3동 ,,,
대연어린이집,대연4동 ,,,
행복한어린이집,대연5동 ,,,
부산고려병원,대연1동 ,,,
부산예술관,대연4동 ,,,
부산시립박물관,대연4동 ,,,
위대항병원,대연5동 ,,,
부산문화회관,대연4동 ,,,
용당어린이집,용당동 ,,,
유엔평화기념관,대연4동 ,,,
파크사이드재활의학병원,용당동 ,,,
가나병원,용당동 ,,,
그랜드자연요양병원,대연3동 ,,,
대연성모병원,대연3동 ,,,
용당요양병원,용당동 ,,,
스파크,대연3동 ,,,
㈜센츄리스포렉스,대연3동 ,,,
리마크빌 대연,대연3동 ,,,
대영온천,대연3동 ,,,
해피실버타운,용호1동 ,,,
글로벌어린이집,용호1동 ,,,
부산성모병원,용호4동 ,,,
부산성모병원장례식장,용호4동 ,,,
부산성모병원주차장,용호4동 ,,,
아이뜰어린이집,용호1동 ,,,
W 스퀘어,용호1동 ,,,
W스퀘어,용호1동 ,,,
바운스트램폴린파크 W아파트점,용호1동 ,,,
뽀로로파크 부산점,용호1동 ,,,
호산나어린이집,용호1동 ,,,
효메디요양병원,용호3동 ,,,
힐탑 탑플레이스,용호1동 ,,,
해뜨는어린이집,용호2동 ,,,
다보네가구,용호2동 ,,,
빌리브센트로,용호1동 ,,,
