대여소번호,보관소(대여소)명,자치구,상세주소,위도,경도
2301,현대고등학교 건너편,강남구,서울특별시 강남구 신사동 549-1 타워빌딩,37.52407074,127.0217896
2302,교보타워 버스정류장(신논현역 3번출구 후면),강남구,서울특별시 강남구 역삼동 800 신논현역,37.5055809,127.0242767
2303,논현역 7번출구,강남구,서울특별시 강남구 논현동 279-67 논현역,37.51151657,127.0214768
2304,신영 ROYAL PALACE 앞,강남구,서울특별시 강남구 논현동 249-6 논현로얄팰리스,37.51252747,127.0358353
2305,MCM 본사 직영점 앞,강남구,서울특별시 강남구 논현동 97 성주그룹빌딩 본관,37.52064133,127.0345078
2306,압구정역 2번 출구 옆,강남구,서울특별시 강남구 신사동 668 압구정역,37.5271225,127.028717
2307,압구정 한양 3차 아파트,강남구,서울특별시 강남구 압구정동 489 한양아파트,37.52838135,127.0390167
2308,압구정파출소 앞,강남구,서울특별시 강남구 압구정동 483 압구정파출소,37.52930069,127.0355988
2309,청담역(우리들병원 앞),강남구,서울특별시 강남구 청담동 47-5 정한빌딩,37.51890182,127.0493851
2310,청담동 맥도날드 옆(위치),강남구,서울특별시 강남구 청담동 77-76 청담역,37.52361298,127.0401764
2311,학동로 래미안 아파트 앞,강남구,서울특별시 강남구 청담동 77-76 청담역,37.51777267,127.0430222
2312,청담역 13번 출구 앞,강남구,서울특별시 강남구 청담동 72 국제빌딩,37.52058029,127.0563278
2313,금원빌딩 앞,강남구,서울특별시 강남구 청담동 125-12 금원빌딩,37.52511597,127.0524674
2314,청담나들목입구,강남구,서울특별시 강남구 삼성동 82-7 봉은중학교,37.52127457,127.0610352
2315,봉은사역 5번출구 옆,강남구,서울특별시 강남구 삼성동 172 봉은사역,37.51424789,127.0611191
2316,삼성역 8번출구,강남구,서울특별시 강남구 삼성동 168-6,37.50957489,127.0634079
2317,삼성도로공원,강남구,서울특별시 강남구 삼성동 110-1 아메리칸스탠다드바쓰하우스빌딩,37.51588821,127.0662003
2318,삼성중앙역4번출구(문화센터더 리빌),강남구,서울특별시 강남구 삼성동 73 봉은사,37.51357651,127.0550308
2319,포스코사거리 서측(수협 삼성동 지점),강남구,서울특별시 강남구 삼성동 143-48 대종빌딩,37.50660706,127.0546799
2320,도곡역 대치지구대 방향,강남구,서울특별시 강남구 도곡동 339-2 도곡역,37.4919281,127.0569687
2321,학여울역 사거리,강남구,서울특별시 강남구 대치동 514-3 학여울역,37.49611664,127.0694428
2322,삼성역 3번 출구,강남구,서울특별시 강남구 대치동 946-1 글라스타워빌딩,37.50809097,127.0631027
2323,주식회사 오뚜기 정문 앞,강남구,서울특별시 강남구 대치동 1009-1 오뚜기센터,37.50221252,127.0672073
2324,천주교 대치 2동 교회 옆,강남구,서울특별시 강남구 대치동 993 대치2동천주교 성당,37.50043869,127.0662231
2325,대치동 버거킹대치점,강남구,서울특별시 강남구 대치동 941-24 제일빌딩,37.4986496,127.0593185
2326,대치동 삼성로,강남구,서울특별시 강남구 대치동 961-11 서울빌딩,37.50239563,127.0587997
2327,뱅뱅사거리 랜드마크타워 앞,강남구,서울특별시 강남구 역삼동 837-36 랜드마크타워,37.49055099,127.0314636
2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티,37.50321198,127.0427322
2329,르네상스호텔사거리 역삼지하보도 2번출구,강남구,서울특별시 강남구 역삼동 804 역삼역,37.50235748,127.04319
2330,스타벅스 앞,강남구,서울특별시 강남구 역삼동 798-30 현진빌딩,37.49219894,127.0394592
2331,동영문화센터앞,강남구,서울특별시 강남구 역삼동 772 동영문화센터,37.49805069,127.0446014
2332,선릉역3번출구,강남구,서울특별시 강남구 역삼동 708-7,37.50400925,127.0490799
2333,양재역 3번출구 주변,강남구,서울특별시 강남구 도곡동 953-1 양재SK허브프리모,37.48515701,127.0340729
2334,삼호아파트 2동 ( 간선도로),강남구,서울특별시 강남구 대치동 1011-28 한티역,37.49375916,127.0458984
2335,3호선 매봉역 3번출구앞,강남구,서울특별시 강남구 도곡동 463 아성(ASUNG),37.48676682,127.0467606
2336,강남세브란스교차로 래미안그레이튼 104동 앞,강남구,서울특별시 강남구 대치동 1011-28 한티역,37.49423599,127.0474625
2337,대모산입구역 2번출구 앞,강남구,서울특별시 강남구 개포동 184 개원중학교,37.49207687,127.0719757
2339,현대아파트 정문 앞,강남구,서울특별시 강남구 개포동 654 현대2차아파트,37.48326111,127.0522995
2340,삼호물산버스정류장(23370) 옆,강남구,서울특별시 강남구 개포동 1229-4 봉명빌딩,37.47750854,127.0451737
2341,일원역 4~5번 출구 사이,강남구,서울특별시 강남구 일원동 735 가람아파트,37.4833107,127.0849381
2342,대청역 1번출구 뒤,강남구,서울특별시 강남구 개포동 13-3 대청타워,37.49400711,127.0795136
2343,세곡사거리 대왕파출소 앞,강남구,서울특별시 강남구 세곡동 120-9 대왕파출소,37.46531677,127.1077271
2344,리엔파크 2단지 앞,강남구,서울특별시 강남구 세곡동 511 강남신동아파밀리에2단지,37.46506119,127.1011963
2347,두산건설 본사,강남구,서울특별시 강남구 논현동 105-7 두산빌딩,37.51863861,127.0354004
2348,포스코사거리(기업은행),강남구,서울특별시 강남구 삼성동 157-27 브이플렉스,37.50723267,127.0568543
2349,역삼빌딩 앞(하나은행 옆),강남구,서울특별시 강남구 역삼동 804 역삼역,37.50154495,127.0385666
2350,래미안그레이튼102동앞,강남구,서울특별시 강남구 역삼동 757 역삼래미안아파트,37.49482346,127.047905
2351,청소년수련관(수영장)앞,강남구,서울특별시 강남구 수서동 749 서울시립 수서청소년수련원,37.48387909,127.0890274
2352,서울본부세관(건설회관 앞),강남구,서울특별시 강남구 논현동 71 서울세관,37.51758957,127.0350266
2353,강남구청역 2번출구 뒤,강남구,서울특별시 강남구 논현동 241-3 에스케이 허브블루,37.51681137,127.0404739
2354,청담역 2번출구,강남구,서울특별시 강남구 삼성동 58-2 청담역 푸르지오시티,37.51978683,127.0567627
2355,삼성역 5~6번 출구 사이,강남구,서울특별시 강남구 삼성동 159 코엑스인터콘티넨탈서울,37.50912094,127.0623093
2356,강남구청,강남구,서울특별시 강남구 삼성동 111-44 강남구청역,37.51807022,127.0471191
