학교이름,주소,위도,경도,행정동명,행정동_코드
석관고등학교,서울 성북구 한천로70길 30,37.6091865,127.065088,석관동,11290810
선덕고등학교,서울 도봉구 시루봉로 53,37.6603818,127.0277016,방학3동,11320710
선린인터넷고등학교,서울 용산구 원효로97길 33-4,37.54250185,126.9672188,청파동,11170555
선사고등학교,서울 강동구 고덕로25길 17,37.5555465,127.1364718,암사3동,11740590
선유고등학교,서울 영등포구 선유로 227,37.5395612,126.9005899,당산2동,11560560
선일빅데이터고등학교,서울 은평구 갈현로29길 27,37.6206661,126.9128169,갈현2동,11380552
선일여자고등학교,서울 은평구 갈현로29길 27,37.6206661,126.9128169,갈현2동,11380552
선정고등학교,서울 은평구 서오릉로20길 19,37.6167464,126.9093757,갈현2동,11380552
선정국제관광고등학교,서울 은평구 서오릉로20길 19,37.6167464,126.9093757,갈현2동,11380552
선화예술고등학교,서울 광진구 천호대로 664,37.5534728,127.0884141,능동,11215780
성남고등학교,서울 동작구 대방동길 74,37.5054479,126.9262267,대방동,11590660
성덕고등학교,서울 강동구 구천면로 396,37.5446913,127.1134486,천호2동,11740610
성동고등학교,서울 중구 퇴계로90길 17,37.5640199,127.0227128,신당5동,11140650
성동공업고등학교,서울 중구 다산로 290,37.5507793,127.0076435,다산동,11140625
성동글로벌경영고등학교,서울 중구 퇴계로 375,37.5652647,127.0133464,신당동,11140615
성보고등학교,서울 관악구 남부순환로156길 39,37.48017385,126.9200321,미성동,11620765
성수고등학교,서울 성동구 서울숲길 18,37.54797,127.0413,성수1가2동,11200660
성수공업고등학교,서울 성동구 뚝섬로 365,37.5427804,127.021923,금호4가동,11200620
성신여자고등학교,서울 성북구 동소문로26가길 80,37.5948277,127.0217765,동선동,11290575
성심여자고등학교,서울 용산구 원효로19길 49,37.533579,126.9572136,원효로2동,11170570
성암국제무역고등학교,서울 강북구 도봉로29길 52,37.6201275,127.0249754,송천동,11305555
성지중고등학교,서울 강서구 화곡로 182,37.55856,126.85378,등촌3동,11500535
세그루패션디자인고등학교,서울 도봉구 시루봉로 53,37.6603818,127.0277016,방학3동,11320710
세명컴퓨터고등학교,서울 은평구 통일로92가길 33,37.6271673,126.9224046,불광2동,11380530
세종과학고등학교,서울 구로구 오리로21길 79,37.4968621,126.8257267,수궁동,11530790
세현고등학교,서울 강서구 허준로 227,37.5603342,126.8637889,가양3동,11500605
세화고등학교,서울 서초구 신반포로 56-7,37.5001425,126.985354,반포본동,11650550
세화여자고등학교,서울 서초구 신반포로 56-7,37.5001425,126.985354,반포본동,11650550
솔샘고등학교,서울 강북구 인수봉로 39,37.62373465,127.012254,삼양동,11305534
송곡고등학교,서울 중랑구 양원역로 50,37.60590705,127.1078286,망우본동,11260655
송곡관광고등학교,서울 중랑구 양원역로 67,37.6098733,127.1068556,망우본동,11260655
송곡여자고등학교,서울 중랑구 양원역로 67,37.6098733,127.1068556,망우본동,11260655
수도여자고등학교,서울 동작구 여의대방로10길 73,37.4928154,126.915433,신대방2동,11590680
수도여자고등학교부설방송통신고등학교,서울 동작구 여의대방로10길 73,37.4928154,126.915433,신대방2동,11590680
수도전기공업고등학교,서울 강남구 개포로 410,37.4925758,127.0762475,개포3동,11680675
