매장명,주소
아라공원,부기장군 일광읍 삼성리 801
아름공원,부기장군 기장읍 대라리 124-3
아미르공원,부영도구 동삼동 1165
아미산전망대공원,부사하구 다대동 1548-1
아시아 선수촌근린공원,부해운대구 반여동 1634
아이파크어린이공원,부해운대구 우동 1408-2
안골새공원,부사하구 감천동 31-5
안락꽃밭공원,부동래구 안락동 171-8
안락꿈돌이공원,부동래구 안락동 455-8
압곡공원,부강서구 구랑동 1219
애솔어린이공원,부기장군 정관읍 매학리
야시곡공원,부사상구 백양대로950번나길 94
양정꿈동산어린이공원,부부산진구 양정동 91-2
양정라이온스공원,부부산진구 전포동 109-1
양지1공원,부사상구 양지로42번길 80-20
양지2공원,부사상구 양지로 18
양지공원,부부산진구 양정동 528
어린이공원 12호매점,부부산진구 새싹로 295
어린이놀이터,부사하구 괴정동
어메니티쉼터,부사하구 감천동
어울림공원,부사상구 모라동 713-11
어울림공원,부연제구 거제동
어울림어린이공원,부해운대구 석대동 321-3
어울어린이공원,부기장군 정관읍 용수리
얼레어린이공원,부기장군 정관읍 용수리
엄궁유수지공원,부사상구 강변대로532번길 71
에덴공원,부사하구 하단동 786-1
에덴공원 솔바람음악당,부사하구 낙동남로1423번길 73-10
에디슨어린이공원,부강서구 명지오션시티10로 17
여고소공원,부동래구 아시아드대로146번길 1
여울생태숲,부금정구 선동 334-1
연꽃공원,부기장군 철마면 웅천리 252-1
연봉공원,부연제구 고분로13번길 8
연산공원,부연제구 연산동 2373
연안꽃동산공원,부동래구 낙민동 80
연안수민공원,부동래구 안남로 9
연이공원,부연제구 연산동 2304
연잎공원,부연제구 과정로164번길 16
연제문화체육공원,부연제구 연산동 952-46
연지어린이공원,부부산진구 연지동 48
연천공원,부연제구 안연로 33
연화공원 부산사랑터,부연제구 연산동 1431-1
열림공원,부사하구 다대동 953-1
열매어린이공원,부사하구 구평동 511
영도 어울림문화공원 출입구,부영도구 동삼동 514-10
영도어울림문화공원,부영도구 함지로79번길 6
영락공원,부금정구 두구동 80
영락공원지하차도,부금정구 선동 632-1
영주배수지체육공원,부중구 초량상로7번길 8-1
영주어린이공원,부중구 영주동 274-11
옛골공원,부연제구 연산동 2274
옛터어린이공원,부기장군 정관읍 방곡리
오랑대공원,부기장군 기장읍 시랑리
오름소공원,부중구 동광동5가 14-1
오봉산체육공원,부강서구 죽림동 1030
오산공원,부해운대구 중동 1762
오시리아 수변공원,부기장군 기장읍 석산리 235-100
옥상공원 롯데백화점 광복점,부중구 중앙대로 2 11
온새미로공원,부동래구 쇠미로 197
온천공원개발,부부산진구 가야대로 754
온천어린이공원,부동래구 온천동 387-10
온천천시민공원,부연제구 연산동 2056-8
온천천시민공원 농구장2,부동래구 수안동 18
올림공원 어린이놀이터,부강서구 명지동 3392
올림픽공원,부해운대구 우동
와우어린이공원,부해운대구 좌동 1452
와치어린이공원,부영도구 동삼동 510-4
