facility_nm,mng_agency_nm,gugun,reference_date,lat,lng,instt_code,last_load_dttm
금정형주요양병원,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.264208,129.088857,,2023-07-01 5:30
금호그랜드타운 (상가),부산광역시 부산진구청,부산진구,2023-01-11,35.1563694,129.0416609,,2023-07-01 5:30
기쁜소식어린이집,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.0687724,128.9789891,,2023-07-01 5:30
기술신용보증기금,부산광역시 남구청,부산광역시 남구,2023-01-16,129.0641651,35.14607914,,2023-07-01 5:30
기장군 보건소,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2435223,129.2229656,,2023-07-01 5:30
기장노인의료센터,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2870535,129.2278269,,2023-07-01 5:30
기장시장,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2435205,129.2150933,,2023-07-01 5:30
기장실버타운,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2451777,129.2414206,,2023-07-01 5:30
기장실버홈,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.3150612,129.1699143,,2023-07-01 5:30
기장연세요양병원,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2507263,129.2178336,,2023-07-01 5:30
기장웨이브리즈어린이집,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2329777,129.2219036,,2023-07-01 5:30
긱스타 PC방 동아대점,,,,부산 사하구 낙동대로 548 지하1층,,,
긱스타 PC카페,,,,서울 동대문구 경희대로1길 8-6,,,
김해공항 국내선 여객터미널,부산광역시 강서구청,강서구,2022-12-22,35.0901,128.85393,,2023-07-01 5:30
김해공항 국제선 여객터미널,부산광역시 강서구청,강서구,2022-12-22,35.08278,128.90325,,2023-07-01 5:30
까르띠움 오피스텔,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.162791,129.16258,,2023-07-01 5:30
꼬마대통령어린이집,부산광역시 북구청,부산광역시 북구,2022-12-31,35.24112888,129.020846,,2023-07-01 5:30
꾸미랑어린이집,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.224768,129.089463,,2023-07-01 5:30
꿈꾸는 PC n COOK,,,,부산 부산진구 신천대로62번길 77,,,
꿈동산어린이집,부산광역시 북구청,부산광역시 북구,2022-12-31,35.20971272,129.0439372,,2023-07-01 5:30
꿈사랑어린이집,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.218868,129.10441,,2023-07-01 5:30
나눔의료재단 행림요양병원,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.249949,129.090773,,2023-07-01 5:30
나라키움부산통합청사,부산광역시 연제구청,부산광역시 연제구,2022-12-31,35.1871202,129.0732649,,2023-07-01 5:30
나르샤병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.21906324,129.0846039,,2023-07-01 5:30
나무야어린이집,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.25774,129.085022,,2023-07-01 5:30
낙민역,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.20367126,129.0872104,,2023-07-01 5:30
남구청 실내주차장,부산광역시 남구청,부산광역시 남구,2023-01-16,129.0841098,35.13650057,,2023-07-01 5:30
남부교육지원청,부산광역시 남구청,부산광역시 남구,2023-01-16,129.085455,35.13616401,,2023-07-01 5:30
남산(농수산)시장,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.269901,129.089247,,2023-07-01 5:30
남산역(1호선),부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.265412,129.092499,,2023-07-01 5:30
남산정역,부산광역시 북구청,부산광역시 북구,2022-12-31,35.21333008,129.0241559,,2023-07-01 5:30
남산정요양병원,부산광역시 북구청,부산광역시 북구,2022-12-31,35.21306473,129.0219594,,2023-07-01 5:30
남천사랑의요양병원,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.14643957,129.1103276,,2023-07-01 5:30
남천어린이집,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.14120818,129.1097078,,2023-07-01 5:30
남천역,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.14246971,129.1087702,,2023-07-01 5:30
남포동역,부산광역시 중구청,부산광역시 중구,2022-12-31,35.09800501,129.034299,,2023-07-01 5:30
