매장명,위도,경도
이샘병원,35.1476675,129.0611104
동성큰사랑어린이집,35.14779672,129.1097754
주례고운어린이집,35.1477975,128.9990641
한라시그마타워,35.1482163,129.0608864
씨드이 빌딩(구.코오롱빌딩),35.14865928,129.1110602
가야스파벨리24사우나 찜질 헬스,35.1489076,129.0304957
워터캐슬사우나음이온찜질방24헬쓰,35.14894,129.0197498
부산중앙어린이집,35.14929575,129.1065254
(주)미래도시(경동윈츠빌),35.14940867,129.0133915
지오플레이스,35.1495471,129.0648567
홈플러스 스토어즈 서면점,35.1495471,129.0648567
홈플러스테스코(주) 서면점,35.1495471,129.0648567
의료법인 효원의료재단 주례자연병원,35.14955361,128.9996321
다인 로얄팰리스,35.1496586,129.0582975
알리안츠생명㈜부산사옥,35.1497341,129.0597691
삼성생명보험㈜부산총국,35.1497345,129.0587945
부산교통공사 휴메트로어린이집,35.1497389,129.0605648
개금천사어린이집,35.1500364,129.0178835
의료법인 은성의료재단 좋은주례요양병원,35.15007271,129.0014641
의료법인은성의료재단좋은삼선병원,35.1501222,129.0076923
좋은삼선병원,35.1501222,129.0076923
윤금노인요양원,35.15016239,128.9929812
의료법인 은성의료재단 좋은강안병원,35.15016884,129.1105978
좋은강안병원 실내주차장,35.15016884,129.1105978
좋은강안병원 장례식장,35.15016884,129.1105978
3pop PC방,35.15047639,129.0124907
성분도어버이집,35.15069777,129.1109123
냉정온천사우나 찜질방 스포츠,35.15102117,129.0145599
햇살자연어린이집,35.1514439,129.0459936
더샵센트럴스퀘어,35.1514547,129.0611259
한화생명 부산지원단사옥,35.1515394,129.058661
더블루 오피스텔,35.1517723,129.0636631
A1프라자,35.1524181,129.0596052
리치웰찜질방,35.15255969,129.1152619
광안더힐요양병원,35.15271646,129.1158566
한국보훈복지의료공단 부산보훈병원,35.15289186,129.0082523
아이사랑산후조리원,35.1529013,35.1529013
PAGODA어학원,35.1531178,129.0588504
부산산업용재유통상가,35.15315184,128.9823021
호메르스관광호텔,35.15342694,129.1179846
노인요양시설효림원,35.1534693,129.0741171
놀PC,35.1535716,129.0597376
신선사우나휘트니스,35.1537116,129.024701
네오스파,35.1537268,129.0540325
네오스포,35.1537268,129.0540325
네오스포,35.1537268,129.0540325
부산진구 노인의료센터 →부산진구노인요양센터,35.1537879,129.0277256
신라요양병원,35.1538391,129.0335739
호텔아쿠아펠리스,35.15413134,129.1188174
케이티앤지 부산상상마당타워,35.1542841,129.0573158
케이티앤지 부산상상마당타워,35.1542841,129.0573158
전포동연수어린이집,35.1543202,129.0675925
미래여성병원,35.1545019,129.0334678
COSTAR PC 서면본점,35.1546886,129.0582726
더블루2,35.1547108,129.0639316
아진어린이집,35.1547982,129.0157386
쥬디스태화(본관),35.1549453,129.0597401
쥬디스태화(신관),35.1552641,129.0606925
쥬디스태화관리㈜신관,35.1552641,129.0606925
광안자모병원,35.15533969,129.1119194
광안자모병원 산후조리원,35.15533969,129.1119194
바다빛어린이집,35.15555536,129.1266075
주식회사 씨제이헬로비전,35.1555819,129.0646456
YBM서면어학원,35.1556623,129.0587605
광안해수월드,35.15587803,129.1335595
부산도시공사,35.1559615,129.0514217
서면더존한방병원,35.1559905,129.0595791
수아&영이 어린이집,35.15601249,129.1161871
해운대삼정코아상가주차장,35.156224,129.153933
금호그랜드타운 (상가),35.1563694,129.0416609
창신 어린이집,35.156637,129.152148
해운대제일교회,35.156748,129.141834
롯데백화점,35.1568526,129.0566466
롯데부산면세점,35.1568526,129.0566466
플레이타임-롯데백화점-챔피온,35.1568526,129.0566466
영화의전당 인디플러스,35.156891,129.146929
초원사랑어린이집,35.1569219,129.0419818
밝은세상안과의원,35.1570047,129.0582203
아이온시티,35.1570047,129.0582203
해바라기어린이집,35.1571185,129.0235693
엘림어린이집,35.1571954,129.0732276
파밀리에 펄시티,35.157326,129.142785
서희스타힐스센텀프리모,35.15733241,129.1274333
양지어린이집,35.15742313,129.0051148
서면전자랜드 ,35.1575574,129.0599572
 온종합병원장례식장,35.1578057,129.0499681
(의)브니엘의료재단 온요양병원,35.1578057,129.0499681
밝은눈안과병원,35.157949,129.0513277
중앙몰 (롯데백화점 지하상가에서 변경),35.1579611,129.0566708
참조은실버요양원,35.1580416,128.99117
㈜파라다이스호텔,35.158323,129.175526
씨클라우드,35.158408,129.180914
의료법인 사랑나눔의료재단 에보스요양병원,35.1584256,129.0617872
제일산후조리원,35.158465,129.146441
삼정 그린코아 더 시티,35.1587335,129.063596
목화사우나,35.1587959,129.0675576
부산온누리감리교회,35.158977,129.153756
숲속어린이집,35.159494,129.144377
㈜이랜드파크켄싱턴리조트 해운대 (구 글로리콘도호텔),35.159594,129.157428
부산산업용품상협동조합,35.15975522,128.9804344
부산산업용품상협동조합,35.15975522,128.9804344
가야교회,35.1597736,129.0581321
센텀스카이비즈,35.159819,129.15886
울트라타워,35.15994,129.157919
센텀드림월드,35.160294,129.161417
센텀힐병원,35.160302,129.164668
벡스코,35.160412,129.166587
힘내라리츠 (2021.5.아이피 아이씨 인크에서 변경),35.1604814,129.0618249
시설관리공단 부전몰,35.1605239,129.0613646
서면중앙시장,35.160855,129.0633137
광안어린이집,35.16090919,129.1071219
한나어린이집,35.1609233,129.0539464
BHS한서병원,35.1610456,129.1128862
예진 어린이집,35.161068,129.161431
스파젠,35.161126,129.166797
의료법인센텀의료재단 서부산센텀병원,35.16121203,128.9845543
도산어린이집,35.16143495,129.1205091
재송 어린이집,35.16145,129.147776
의료법인백세의료재단백세요양병원,35.1614667,129.1092369
하버타운,35.161569,129.155854
삼정기업빌딩(구 대림빌딩),35.1616063,129.0614092
에메랄드홈,35.1617766,129.0631698
부산시티센터,35.1618087,129.0618762
수영주차장,35.16182678,129.1132152
